"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var167","health_issue.chronic","na","NA","NA","0.08 (0.07-0)",NA,0.0694150235399621,0.0948518138592477,"district","sinjar",NA
"dependent.var168","health_issue.chronic","na","NA","NA","0.08 (0.07-0)",NA,0.0671819372916628,0.0861281672379539,"district","al.kufa",NA
"dependent.var169","health_issue.chronic","na","NA","NA","0",NA,0.000166408321899803,0.00117591865099205,"district","al.falluja",NA
"dependent.var170","health_issue.chronic","na","NA","NA","0.11 (0.09-0)",NA,0.0923980224014394,0.137576413180179,"district","erbil",NA
"dependent.var171","health_issue.chronic","na","NA","NA","0.03 (0.02-0)",NA,0.016236036032541,0.0406622423905821,"district","al.sulaymaniyah",NA
"dependent.var172","health_issue.chronic","na","NA","NA","0.04 (0.03-0)",NA,0.0293867161088288,0.0569172238536478,"district","halabcha",NA
"dependent.var173","health_issue.chronic","na","NA","NA","0.06 (0.05-0)",NA,0.0502548042738707,0.0795828985975401,"district","al.hatra",NA
"dependent.var174","health_issue.chronic","na","NA","NA","0.05 (0.01-0)",NA,0.0109950070087989,0.0802330631666397,"district","al.muqdadiya",NA
"dependent.var175","health_issue.chronic","na","NA","NA","0.06 (0.05-0)",NA,0.0535607256115579,0.0592447038716137,"district","al.baaj",NA
"dependent.var176","health_issue.chronic","na","NA","NA","0.1 (0.08-0)",NA,0.0813938269095144,0.120206173090486,"district","rania",NA
"dependent.var177","health_issue.chronic","na","NA","NA","0.07 (0.05-0)",NA,0.0512371492471994,0.0905641568532375,"district","al.najaf",NA
"dependent.var178","health_issue.chronic","na","NA","NA","0.01 (0.01-0)",NA,0.00524501886417731,0.00738393875995225,"district","al.adhamiya",NA
"dependent.var179","health_issue.chronic","na","NA","NA","0.04 (0.03-0)",NA,0.030949440489522,0.0556969705400932,"district","al.nasiriya",NA
"dependent.var180","health_issue.chronic","na","NA","NA","0.03 (0.01-0)",NA,0.0101756866274734,0.0540218442367241,"district","al.kut",NA
"dependent.var181","health_issue.chronic","na","NA","NA","0.04 (0.02-0)",NA,0.018545532954706,0.0517247373155643,"district","al.suwaira",NA
"dependent.var182","health_issue.chronic","na","NA","NA","0.07 (0.05-0)",NA,0.0517961458794252,0.0875362198680349,"district","chamchamal",NA
"dependent.var183","health_issue.chronic","na","NA","NA","0.08 (0.05-0)",NA,0.0519853353657024,0.112971712256826,"district","al.mahmoudiya",NA
"dependent.var184","health_issue.chronic","na","NA","NA","0.03 (0.01-0)",NA,0.0148092659886726,0.0375163154066762,"district","al.diwaniya",NA
"dependent.var185","health_issue.chronic","na","NA","NA","0.01 (0-0)",NA,-0.000389297653649697,0.024854129457931,"district","al.mussyab",NA
"dependent.var186","health_issue.chronic","na","NA","NA","0.1 (0.08-0)",NA,0.0815661240422543,0.110407966601327,"district","aqra",NA
"dependent.var187","health_issue.chronic","na","NA","NA","0.11 (0.08-0)",NA,0.0832797003139486,0.138326947885497,"district","duhok",NA
"dependent.var188","health_issue.chronic","na","NA","NA","0.06 (0.04-0)",NA,0.0402313803108953,0.0761707360912211,"district","samarra",NA
